8/30/18 22:32,BTC  WTC  ETH  AION  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.42639278126963864, USD Value Equivalent: 2979.607171945359",4,"BINANCE""2018/08/30 23:00:16""",BTC  HC  ETH  PIVX  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.4269984586257608, USD Value Equivalent: 2991.079367835299",4,BINANCE,,,,,
9/5/18 11:51,BTC  NANO  ETH  ARK  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.389927756692345, USD Value Equivalent: 2697.4461345238706",2,BINANCE,,,,,,,,,,
9/5/18 11:58,BTC  WAN  ETH  TRIG  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.38997207848060983, USD Value Equivalent: 2699.979484802072",2,BINANCE,,,,,,,,,,
9/5/18 12:00,BTC  LSK  ETH  NXS  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.3899096516569573, USD Value Equivalent: 2699.5921110499175",2,BINANCE,,,,,,,,,,
9/5/18 12:02,BTC  ONT  ETH  LUN  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.3899228229018519, USD Value Equivalent: 2702.822182666423",2,BINANCE,,,,,,,,,,
9/5/18 12:11,BTC  BNB  WAVES  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.3899604850145239, USD Value Equivalent: 2701.7729773382516",2,BINANCE,,,,,,,,,,
9/5/18 12:17,BTC  LUN  ETH  STRAT  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.38958310967488335, USD Value Equivalent: 2697.0488057993466",2,BINANCE,,,,,,,,,,
9/5/18 12:20,BTC  NEO  ETH  EDO  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.38926774767616973, USD Value Equivalent: 2690.7841107304475",2,BINANCE,,,,,,,,,,
9/5/18 12:32,BTC  BNB  LSK  ETH  USDT  BTC  ,0.02094202,"Total Bitcoin Value (without using bot): 0.38834019818402116, USD Value Equivalent: 2683.182231724749",2,BINANCE,,,,,,,,,,
9/5/18 12:46,BTC  NANO  ETH  VIA  BTC  ,0.01670279,"Total Bitcoin Value (without using bot): 0.3895914936933179, USD Value Equivalent: 2699.6839953351887",2,BINANCE,,,,,,,,,,
9/5/18 13:10,BTC  HC  ETH  BTC  ,0.01670279,"Total Bitcoin Value (without using bot): 0.39025706773781677, USD Value Equivalent: 2706.590818874193",2,BINANCE,,,,,,,,,,
9/5/18 13:12,BTC  BCD  ETH  BTC  ,0.01670279,"Total Bitcoin Value (without using bot): 0.3903687995302617, USD Value Equivalent: 2705.5153759964014",2,BINANCE,,,,,,,,,,
